antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'Comedy', 'Animation, Adventure, Comedy'})","frozenset({'Comedy, Drama, Romance'})",0.3023255813953488,0.3023255813953488,0.23255813953488372,0.7692307692307693,2.544378698224852,0.14115738236884803,3.023255813953489
"frozenset({'Comedy, Drama, Romance'})","frozenset({'Comedy', 'Animation, Adventure, Comedy'})",0.3023255813953488,0.3023255813953488,0.23255813953488372,0.7692307692307693,2.544378698224852,0.14115738236884803,3.023255813953489
"frozenset({'Comedy, Drama, Romance'})","frozenset({'Comedy', 'Action, Adventure, Sci-Fi', 'Animation, Adventure, Comedy'})",0.3023255813953488,0.27906976744186046,0.20930232558139536,0.6923076923076924,2.4807692307692313,0.1249323958896701,2.343023255813954
"frozenset({'Comedy', 'Animation, Adventure, Comedy'})","frozenset({'Action, Adventure, Sci-Fi', 'Comedy, Drama, Romance'})",0.3023255813953488,0.27906976744186046,0.20930232558139536,0.6923076923076924,2.4807692307692313,0.1249323958896701,2.343023255813954
"frozenset({'Comedy', 'Action, Adventure, Sci-Fi', 'Animation, Adventure, Comedy'})","frozenset({'Comedy, Drama, Romance'})",0.27906976744186046,0.3023255813953488,0.20930232558139536,0.75,2.480769230769231,0.1249323958896701,2.7906976744186047
"frozenset({'Action, Adventure, Sci-Fi', 'Comedy, Drama, Romance'})","frozenset({'Comedy', 'Animation, Adventure, Comedy'})",0.27906976744186046,0.3023255813953488,0.20930232558139536,0.75,2.480769230769231,0.1249323958896701,2.7906976744186047
"frozenset({'Comedy, Romance'})","frozenset({'Action, Adventure, Sci-Fi', 'Action, Adventure, Fantasy'})",0.23255813953488372,0.3953488372093023,0.20930232558139536,0.9,2.2764705882352945,0.1173607355327204,6.046511627906978
"frozenset({'Action, Adventure, Sci-Fi', 'Action, Adventure, Fantasy'})","frozenset({'Comedy, Romance'})",0.3953488372093023,0.23255813953488372,0.20930232558139536,0.5294117647058824,2.276470588235294,0.1173607355327204,1.630813953488372
"frozenset({'Action, Adventure, Fantasy'})","frozenset({'Action, Adventure, Sci-Fi', 'Comedy, Romance'})",0.4418604651162791,0.20930232558139536,0.20930232558139536,0.4736842105263158,2.263157894736842,0.11681990265008113,1.5023255813953489
"frozenset({'Action, Adventure, Sci-Fi', 'Comedy, Romance'})","frozenset({'Action, Adventure, Fantasy'})",0.20930232558139536,0.4418604651162791,0.20930232558139536,1.0,2.263157894736842,0.11681990265008113,inf
"frozenset({'Animation, Adventure, Comedy', 'Action, Adventure, Fantasy'})","frozenset({'Action, Crime, Thriller'})",0.32558139534883723,0.3488372093023256,0.2558139534883721,0.7857142857142857,2.2523809523809524,0.14223904813412655,3.0387596899224807
"frozenset({'Action, Crime, Thriller'})","frozenset({'Animation, Adventure, Comedy', 'Action, Adventure, Fantasy'})",0.3488372093023256,0.32558139534883723,0.2558139534883721,0.7333333333333334,2.2523809523809524,0.14223904813412655,2.529069767441861
"frozenset({'Action, Adventure, Sci-Fi', 'Animation, Adventure, Comedy', 'Action, Adventure, Fantasy'})","frozenset({'Action, Crime, Thriller'})",0.3023255813953488,0.3488372093023256,0.23255813953488372,0.7692307692307693,2.2051282051282053,0.12709572742022715,2.8217054263565897
"frozenset({'Comedy, Drama, Romance'})","frozenset({'Action, Adventure, Sci-Fi', 'Animation, Adventure, Comedy'})",0.3023255813953488,0.4186046511627907,0.27906976744186046,0.9230769230769231,2.2051282051282053,0.15251487290427257,7.558139534883725
"frozenset({'Action, Crime, Thriller'})","frozenset({'Action, Adventure, Sci-Fi', 'Animation, Adventure, Comedy', 'Action, Adventure, Fantasy'})",0.3488372093023256,0.3023255813953488,0.23255813953488372,0.6666666666666666,2.2051282051282053,0.12709572742022715,2.093023255813953
"frozenset({'Action, Adventure, Sci-Fi', 'Animation, Adventure, Comedy'})","frozenset({'Comedy, Drama, Romance'})",0.4186046511627907,0.3023255813953488,0.27906976744186046,0.6666666666666666,2.2051282051282053,0.15251487290427257,2.093023255813953
"frozenset({'Animation, Adventure, Comedy', 'Action, Adventure, Comedy'})",frozenset({'Comedy'}),0.2558139534883721,0.37209302325581395,0.20930232558139536,0.8181818181818182,2.1988636363636367,0.11411573823688481,3.453488372093024
